"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","125","GET by ID - Should fetch tourist with ID 5","","Fri Jul 25 18:26:19 WIB 2025","passed","Fri Jul 25 18:26:19 WIB 2025","","API Testing - Tourist Endpoint","",""
"","150","PATCH - Should partially update tourist location with ID 7","","Fri Jul 25 18:26:19 WIB 2025","passed","Fri Jul 25 18:26:20 WIB 2025","","API Testing - Tourist Endpoint","",""
"","102","Approach1 - Hard coding json object","","Fri Jul 25 18:26:12 WIB 2025","passed","Fri Jul 25 18:26:12 WIB 2025","","api testing","",""
"","166","Approach2 - Dynamically generating json object","","Fri Jul 25 18:26:12 WIB 2025","passed","Fri Jul 25 18:26:12 WIB 2025","","api testing","",""
"","232","PUT - Should update tourist with ID 1","","Fri Jul 25 18:26:19 WIB 2025","passed","Fri Jul 25 18:26:19 WIB 2025","","API Testing - Tourist Endpoint","",""
"","703","DELETE - Should delete tourist with ID 14","","Fri Jul 25 18:26:20 WIB 2025","failed","Fri Jul 25 18:26:20 WIB 2025","","API Testing - Tourist Endpoint","",""
"","212","POST - Should create a new tourist","","Fri Jul 25 18:26:18 WIB 2025","passed","Fri Jul 25 18:26:19 WIB 2025","","API Testing - Tourist Endpoint","",""
"","777","DELETE Call","","Fri Jul 25 18:26:05 WIB 2025","passed","Fri Jul 25 18:26:06 WIB 2025","","HTTP Request","",""
"","113","GET - Should fetch all tourists","","Fri Jul 25 18:26:18 WIB 2025","passed","Fri Jul 25 18:26:18 WIB 2025","","API Testing - Tourist Endpoint","",""
"","762","PUT Call","","Fri Jul 25 18:26:04 WIB 2025","passed","Fri Jul 25 18:26:05 WIB 2025","","HTTP Request","",""
"","211","GET Call","","Fri Jul 25 18:26:03 WIB 2025","passed","Fri Jul 25 18:26:04 WIB 2025","","HTTP Request","",""
"","370","Post Call","","Fri Jul 25 18:26:04 WIB 2025","passed","Fri Jul 25 18:26:04 WIB 2025","","HTTP Request","",""
